Ticker,Return Rate of MA05,Return Rate of MA10,Return Rate of MA20,Return Rate of MonthlySIP,Return Rate of WeeklySIP,Distance of Close2BBLowerLim,Return Rate of MA5CrossMA10,Return Rate of MA05_WoSell,Return Rate of MA10_WoSell,Return Rate of MA20_WoSell,Return Rate of MA05CrossMA10_WoSell,Return Rate of MA10CrossMA20_WoSell,Return Rate of MACD,Return Rate of BB
ADP,9.078940055601265,11.560117014414397,7.936051586868216,15.175036322125028,15.114919831812964,0.0667844807257417,2.75616026932564,15.577643815243825,16.894775212308165,17.774183264610237,15.364958540141316,17.348526057113798,-1.9991652402253672,14.48528863790885
ADSK,-5.521519707879,9.412688251767452,7.493436260818849,16.507043807895297,16.23887958338064,0.06792855254276503,1.4355244488489955,16.833087406625026,14.975081147966765,16.76256321172998,15.720649183595729,21.088702258811747,-5.780190514743446,20.476429057780035
AEE,16.791927718073037,20.029948865954548,26.66856950142656,21.775278344714945,21.39326839296821,0.09760094073769013,17.168375068139806,22.626394178306743,21.54670038921645,25.070314088354944,20.12683187992556,22.088369572199827,22.2145305046093,6.466153738914334
AEP,14.466605598472226,17.460163362587984,14.000206328772263,9.068123342884018,9.056727859908888,0.07454407303388957,19.1084062372521,9.286411387140545,10.11240821362578,8.403932915223024,8.256383581525883,7.761923710879308,11.082893213098743,14.966356010273458
AES,17.679765239434303,8.47479744185062,3.4798905091856547,-33.36384729751507,-33.76379426604136,0.025674100920042117,-19.37448356518417,-31.162849784286944,-35.19941918924531,-36.81330824665257,-35.187850384881465,-36.8659317009307,-3.0748223762810247,-40.03093151528764
AFL,16.990008765008433,19.054469368933766,21.103153085729318,8.955299385609242,8.078903973816871,0.021204239634414812,10.306539690470442,8.514863719806192,7.146268093834143,7.948311757196174,3.9421036494493786,2.3059134985058223,19.445153162033687,4.987477187994015
AIG,-7.217118180156374,-10.802405185626256,-10.963755511166354,0.1602994015888784,-0.10263839480886539,0.052428994681220926,-9.36679959846833,-0.9399488653905549,-1.3148654219037217,-0.48385413130547245,-0.6163040919340018,-0.008242340321723498,-4.712781803366082,17.273140665577607
AIZ,27.069733376489282,12.454617213049325,4.006293355910009,14.4126307194091,14.73852461587055,0.07370124761626684,-2.2270779085513492,16.37167265231078,16.139792015906224,14.177721907941857,16.21206562352807,15.0110966618733,10.951828566968683,29.64764280422056
AJG,36.14931487830905,35.51389446630745,28.464570134203964,20.10284047904216,19.432003957705117,0.16671062444127008,30.800373610039028,18.437604178888815,17.319422009921336,18.916892679652424,17.319522887501424,17.045996838807408,21.325939279458748,8.355318134607598
AKAM,-13.283083383887115,-19.30323396021142,-16.835540340758477,-0.787683093122866,1.1303074446150376,0.1411922917865492,-9.192035053838504,0.6570729634282813,-0.16686703381641121,0.22426179519214975,1.573030533626427,0.08926086692681869,-6.290763129348506,20.545468518820183
ALB,-50.501285461629884,-35.52115011849421,-31.050179822641617,-24.67600108044723,-23.854727598290406,0.018349940461860257,14.327537601416903,-24.855613616777443,-24.891638550999684,-25.7500418880924,-24.301621386508515,-24.020104287534995,-27.4328291431978,-22.31721844964577
ALGN,-21.73284848936248,-6.645519062073994,-13.517616678651734,-14.536779031483501,-14.644362325767734,0.02361957435989428,-20.752863842210886,-15.15536353077065,-12.831503147485796,-13.710543748520443,-15.474334344057098,-13.240107537857925,-9.990289892222943,-6.654957389551605
ALL,3.15756985470342,-8.0191107541462,1.5283096619046188,7.703333487463944,7.40882600610078,0.04623143287343342,-0.6382733713111006,7.773465173505453,7.746897981480619,5.693293755951418,6.657929668123557,6.552425942811708,8.982824986454773,10.33486359439427
ALLE,7.096944065899146,6.745775174358541,7.946659740666512,-1.2996587542027347,-2.088389687968303,0.020186669139786208,1.3501873655920202,-2.094238383986709,-1.8705164613133314,-2.4317776807164235,-1.184682552160877,-3.0729692337697054,0.5413483286779521,-9.11965478667699
ALV.DE,13.534240381319865,18.934256201821352,4.735947096729725,15.657315226556564,15.266017698888955,0.07674203179963272,19.4373523717536,15.24975035284254,15.874897786878448,15.793277984614356,17.322654543835426,14.938848970734654,24.06354061984674,19.57456411141153
AMAT,-9.512884876539859,-13.861375530150829,-34.275410660843384,-6.958588422582079,-8.010090237475488,0.08142803407011638,-29.95275178329992,-7.718561428236955,-8.692778657725924,-7.952226793398652,-7.882622629680881,-6.425811402595609,-11.007292974697535,-3.5418875035060844
AMCR,0.0037240775906246916,-2.0292375067168784,-5.963824184413501,0.5496657275716017,0.35472706862747116,0.07014833035293955,11.036486684257865,0.1109915074966046,-1.08761407277672,0.013377719849659131,-0.2281904349016712,-3.5326529711943846,16.1513286621909,27.477146991733658
AMD,-32.73760197552933,-36.68638858448595,-25.580785508596737,-27.330657068372126,-28.417322930487675,-0.008900358356572192,-27.388532404439776,-28.377631112441165,-28.357800884032937,-28.853067955569596,-27.076352090468127,-33.4728092651693,-27.840697323351687,-3.043031016481318
AME,3.708034408033113,-1.5142190879655348,-7.418556411011995,6.123660131556165,5.43229428762578,0.05209021742020558,-9.94279767208827,5.465891759073412,5.93446428849504,7.22322353146288,6.464127196710526,5.453224072352245,0.6212270649105501,13.238778970800254
AMGN,18.93195820503939,14.80237753598193,3.5486131739362867,-1.2235226136184658,-1.0770995074047762,0.1404450487945588,3.4973633546158256,-2.1291514181104088,-3.841250066843438,-3.25000139926602,-2.5878956505156334,-2.2758086235582358,-0.48413795996742415,-15.784286431562858
AMP,35.87570195038953,18.24653074392065,22.682281767574136,18.463273777799806,16.98748744416579,0.04948668592561581,-1.7750226806885645,17.846639577288524,18.41867111433007,18.431406926713272,17.624384304097816,17.774600698999116,10.666190735867529,15.301217315180205
AMT,-6.283742951559604,8.869071821778386,9.455672330125992,-5.942589502227085,-5.582294308023462,0.07493416637208336,24.116165644632364,-5.741032604848929,-4.480557069652528,-8.304851543703167,-4.726425544523261,-6.4252091787784,18.93496278885444,-9.176779788014104
AMTM,5.6335278503644455,-12.60973651826977,-23.496942001151066,-10.511031205170749,-10.46801628879618,,-15.153117926398144,-10.010140489015605,-10.37247996889821,-2.620891578063669,-10.063308918799724,-1.5548661835225246,-31.360042696725333,
AMZN,2.0452701415245684,4.612949128516566,7.391641585354364,20.32710300504163,20.30710088820694,0.061306459837691236,17.317932432116027,21.039629789993626,19.846812061531388,21.67215929880036,20.831527612405655,16.736729213479094,9.225103861467415,24.929057181676807
ANET,11.756459408639266,-5.3511181730987625,9.465373095639272,40.53786374469856,38.15552479984519,0.17001766810338864,48.90930001018414,39.25127683839662,40.136448831328806,37.17612892642145,36.709339897958735,34.46428411848746,27.382536547813103,63.805139719523574
ANPDY,33.8621190328411,19.94834940431455,0.9614679119954432,7.525003157202066,6.9495750023372205,0.11931930143387023,-0.6136417637209215,7.855711008399625,8.326334444925337,6.25363643330825,7.078648366149364,6.578765336505066,28.746359552104995,-6.087785094748926
ANSS,-17.786558975408756,-12.8076366561827,-15.522875229643462,5.1624628079995425,4.636957931625446,0.028067410826894953,-9.010830611226787,4.5019320649817525,4.065605199699272,5.205565741150643,4.046655440250487,3.2282503933175897,-9.19857347121422,11.249330673895159
AON,18.740119922186565,20.07908534560797,31.184728314484506,17.56924585412959,17.336564557439615,0.1003911174031147,4.125557685003134,17.40447810664993,16.121938631295972,23.994996020522404,16.653283050751334,21.4012158218915,4.607510870696191,8.754133532237908
AOS,10.326093208685746,-7.476113434054713,-19.95179763667858,-17.67253542116019,-18.167759968056128,0.015990055255739547,-9.530749959460561,-18.562616519732472,-16.934045980342603,-18.90322673348819,-18.60714843010297,-19.945608499314023,-4.255325035978428,19.695054642896466
APA,-6.8231564013073935,-16.21355368169642,-25.287076272283883,-19.92368815224729,-19.80106091432554,0.03388850099838242,-20.17364805336391,-20.459733181718548,-22.11361371828296,-18.869661231566333,-18.754214470569174,-19.168930082324138,-11.121817176056629,1.3685414003841248
APD,68.68204326077017,44.19482984445983,19.734687504362043,14.691635484137953,13.271485608536876,0.04855436091104729,22.463280185613034,15.985991756334542,14.458291093661604,13.09620943435299,13.464408999057314,10.56811252605965,28.845042128649055,34.514925552495605
APH,1.9907046542668012,-5.662958525575535,-10.42161762026479,10.888062471937722,8.607024109084714,0.07586892615491199,3.832978150561761,8.032036827142745,7.9102664791824315,3.0720173190443516,3.9806402943518657,3.598883429228497,0.35315223361125586,31.67247678538571
APTV,-15.367621209723993,-21.96073967179433,-23.387353148842116,-6.9089559541658225,-7.039045302404046,0.07789021769668604,-10.049162466842844,-8.98276135195326,-9.288501118531812,-8.825054000075157,-6.648347240733503,-12.60455285833621,6.4089610776966985,33.933169824335074
